,Stachen1_lat,Stachen1_lon,Stachen2_lat,Stachen2_lon
126,48.084293,10.853194,48.08161,10.854577
127,50.310993,7.467839,50.31675,7.477756
128,49.3372,7.176119,49.335224,7.173894
129,51.58554,9.656397,51.58764,9.652388
130,50.017925,11.936239,50.025887,11.933301
131,53.45795,9.935205,53.455025,9.937119
132,50.539333,6.558142,50.571304,6.502437
133,50.539333,6.558142,50.54166,6.558528
134,50.0,8.999993,50.0,8.999993
135,49.676678,10.753696,49.689423,10.77133
136,51.50175,6.522326,51.480015,6.488154
137,54.26394,10.877569,54.253162,10.875191
138,51.242798,6.692871,51.24571,6.692152
139,50.544693,12.040534,50.545635,12.038616
140,51.843113,10.450793,51.851986,10.456543
141,51.09062,7.077745,51.08628,7.083629
142,51.506847,7.501436,51.50621,7.507365
143,51.12481,6.730025,51.123688,6.725785
144,51.201412,7.359834,51.204,7.35766
145,50.94449,10.737814,50.945347,10.732887
146,51.15879,8.425398,51.161617,8.413998
147,53.58054,9.813681,53.57986,9.816601
148,48.715126,8.911666,48.71448,8.914317
149,48.860687,13.5348,48.856697,13.539659
150,52.464905,13.432708,52.467186,13.431384
151,50.6179,6.941992,50.61668,6.944202
152,50.13228,8.567036,50.1329,8.560764
153,50.13228,8.567036,50.132305,8.564295
154,53.324177,13.054156,53.312378,13.050069
155,51.343716,7.783597,51.34416,7.78825
156,50.371212,6.707127,50.369843,6.703947
157,47.708885,9.603359,47.709152,9.60768
158,47.708885,9.603359,47.709152,9.60768
159,51.659237,14.219615,51.695057,14.255092
160,51.659237,14.219615,51.655483,14.223085
161,51.694126,12.175452,51.6944,12.18191
162,50.934673,6.697668,50.932034,6.701351
163,48.641716,9.639754,48.6433,9.649191
164,52.415905,12.488686,52.416695,12.485081
165,50.4863,11.514602,50.50389,11.496769
166,51.140675,6.460827,51.13816,6.46381
167,53.68784,12.650803,52.421085,12.116993
168,50.146103,11.06039,50.150578,11.064945
169,51.843708,8.040227,51.851486,8.055445
170,51.843708,8.040227,51.845516,8.040398
171,51.602417,7.620157,51.603165,7.594977
172,51.02382,7.05553,51.02583,7.053967
173,51.928635,10.436115,51.92751,10.431237
174,51.928635,10.436115,51.930946,10.433842
175,48.222298,12.677951,48.221245,12.675938
176,52.17423,9.13283,52.173286,9.126497
177,53.425785,9.429086,53.428913,9.421845
178,51.95687,7.594321,51.95773,7.596001
179,48.773624,11.41067,48.771362,11.413527
180,49.637806,8.469873,49.6409,8.473539
181,48.650505,13.477622,48.58046,13.476643
182,53.163567,12.49014,53.16424,12.486365
183,50.968037,13.897602,50.96956,13.892652
184,53.348743,11.201677,53.348183,11.203204
185,48.87703,9.426587,48.89064,9.456212
186,48.87703,9.426587,48.875126,9.424008
187,49.707,11.00641,49.704903,11.011333
188,52.127438,9.345291,48.98932,12.156209
189,49.56982,8.839054,49.586643,8.834437
190,49.56982,8.839054,49.56878,8.833305
191,49.56982,8.839054,49.56941,8.830879
192,49.56982,8.839054,49.56878,8.833305
193,51.55778,7.419941,51.55499,7.425034
194,51.55778,7.419941,51.56216,7.418764
195,49.201763,12.279045,49.204456,12.282611
196,48.45083,13.092433,48.447098,13.091813
197,50.981445,12.993107,50.982445,12.984141
198,53.109585,8.219074,53.10893,8.214072
199,53.109585,8.219074,53.108902,8.224203
200,50.09889,8.758983,50.10175,8.759835
201,50.10885,8.096485,50.10398,8.102755
202,51.112144,6.761341,51.112846,6.764197
203,51.112144,6.761341,51.110786,6.753543
204,51.248775,6.860353,51.254753,6.864863
205,50.32252,9.018069,50.314064,8.999955
206,48.388535,10.035789,48.396694,10.039276
207,52.494057,13.455139,52.494057,13.455139
208,54.3171,10.061581,54.31671,10.067782
209,51.25882,7.810833,51.25799,7.796011
210,50.23282,9.6037,50.2382,9.593495
211,51.43066,7.001299,51.42833,6.996771
212,50.18042,8.473219,50.182983,8.467059
213,50.18042,8.473219,50.1842,8.477658
214,50.84968,9.109753,50.824062,9.117172
215,51.514515,9.085983,51.51943,9.088462
216,48.238644,9.89205,48.23501,9.888403
217,53.34437,13.312943,53.347305,13.301741
218,51.376644,7.603772,51.379307,7.592776
219,51.078903,6.596653,51.08151,6.59597
220,54.047314,13.771227,54.044216,13.768613
221,49.191544,8.230445,49.193546,8.195106
222,49.191544,8.230445,49.1884,8.236698
223,50.80891,6.50186,50.81359,6.5081
224,50.80625,6.887015,50.807053,6.890572
225,53.895287,10.68442,48.162437,11.582195
226,53.405457,8.780962,53.42744,8.799628
227,53.405457,8.780962,53.42744,8.799628
228,53.405457,8.780962,53.40508,8.759798
229,53.405457,8.780962,53.411247,8.786557
230,53.405457,8.780962,53.40396,8.806312
231,51.60352,10.208721,51.58725,10.164652
232,47.987095,7.878912,47.98674,7.883997
233,48.43337,9.072427,48.4349,9.070622
234,51.45382,6.906922,51.452145,6.900615
235,51.21442,6.843411,51.21397,6.84713
236,51.491436,11.927391,54.34462,10.139718
237,51.115368,13.780156,51.114334,13.783956
238,52.32168,12.352166,52.319077,12.338085
239,54.000828,13.362691,54.013546,13.360652
240,48.42589,10.012415,48.423355,10.013324
241,51.313793,9.44008,51.31148,9.440861
242,51.313793,9.44008,51.313126,9.447259
243,54.799416,9.476924,54.79717,9.478499
244,51.613316,7.124341,51.612453,7.119176
245,53.548313,10.051169,53.55048,10.04904
246,49.053493,8.399715,49.052776,8.395601
247,52.417423,13.449659,52.419754,13.44875
248,51.132442,6.913551,51.132545,6.907721
249,51.132442,6.913551,51.12238,6.923774
250,49.483845,11.104893,49.48538,11.108639
251,52.432507,13.287191,52.4327,13.293166
252,51.525158,12.361028,51.525047,12.357445
253,51.570137,7.377145,51.57064,7.383047
254,51.133156,13.839796,51.147007,13.865272
255,51.133156,13.839796,51.147007,13.865272
256,50.89077,6.831957,50.891537,6.834041
257,47.808716,9.314272,47.808548,9.305684
258,51.55797,8.247289,51.55138,8.228451
259,53.923973,9.879824,53.916344,9.886822
260,49.56077,8.708448,49.56719,8.708529
261,49.56077,8.708448,49.561764,8.713847
262,52.95588,8.932928,52.958466,8.933829
263,48.36379,10.011021,48.354294,10.019104
264,50.2035,7.63356,50.23008,7.602092
265,53.068207,8.938915,53.069168,8.935199
266,52.6332,7.979695,52.619114,7.973744
267,49.39245,8.530411,49.37431,8.534094
268,51.53096,9.946525,51.529373,9.94054
269,49.351357,11.056339,49.35312,11.060812
270,52.43304,13.101837,52.42986,13.099468
271,53.54852,9.987945,53.552322,9.985044
272,53.54852,9.987945,53.552322,9.985044
273,53.4348,7.51076,53.42554,7.51594
274,53.5662,11.206591,53.547592,11.191203
275,50.56008,7.269347,50.563393,7.265906
276,50.37504,8.005256,50.373665,7.98481
277,51.15064,6.362471,51.149708,6.360521
278,51.37335,10.04265,51.36531,10.062842
279,48.990177,9.71104,48.987644,9.713465
280,48.55053,12.14065,48.552235,12.143022
281,48.32373,11.849893,48.3229,11.846147
282,53.49271,10.190542,53.492485,10.195618
283,51.166954,13.497502,51.166924,13.493253
284,50.151722,8.762566,50.154808,8.759402
285,51.893417,7.627335,51.89362,7.633416
286,49.29508,8.573638,49.29349,8.568895
287,51.60722,6.376619,51.611794,6.375128
288,51.76691,7.456897,51.76976,7.460985
289,51.12811,6.786988,51.125656,6.785972
290,54.174625,9.87586,54.172085,9.870567
291,48.718674,9.111666,48.719334,9.117756
292,51.633144,7.818209,51.638542,7.78984
293,51.508484,7.081617,51.507286,7.077233
294,51.609272,9.23292,51.61065,9.187816
295,51.13897,8.45807,51.123665,8.458303
296,51.981926,9.259825,51.98383,9.261101
297,53.78307,10.187204,53.786896,10.196237
298,52.111374,10.676989,52.11357,10.672453
299,51.920326,8.028738,51.92213,8.035188
300,50.81143,12.924349,50.806637,12.923748
