,stop_name,stop_lat,stop_lon
311,Anzefahr,50.84573,8.85959
313,Anzenkirchen,48.43474,13.021996
314,Apach(Moselle),49.458786,6.371969
315,Apach(fr),49.46902,6.369699
316,Apensen,53.441666,9.612345
317,Apolda,51.03094,11.526136
320,Appenweier,48.541462,7.97319
324,"Arbeitsagentur, Karlsruhe",49.003918,8.386528
325,Arbon,47.51051,9.433224
326,Arbon Seemoosriet,47.521343,9.424721
327,Ardey,51.481163,7.727176
328,Arensdorf(Köthen),51.70951,12.007416
330,Arenshausen,51.375053,9.968559
332,Arfurt(Lahn),50.406403,8.211079
334,Armsheim,49.808372,8.074113
337,Arnbach,48.34132,11.344044
338,Arnhem Centraal,51.98478,5.901003
346,Arnsberg(Westf),51.405663,8.067965
348,Arnschwang,49.27461,12.8116
350,Arnsdorf(Dresden),51.092808,13.982212
353,Arnstadt Hbf,50.841938,10.948262
356,Arnstadt Süd,50.831085,10.954958
358,Arrach,49.195366,13.002804
359,Arsbeck,51.151978,6.207082
360,Artern,51.36324,11.310757
362,Arzberg(Oberfr),50.054634,12.197692
363,As(CZ),50.209435,12.199936
364,Aschaffenburg Hbf,49.980556,9.143697
372,Aschaffenburg Hochschule,49.974445,9.160416
373,Aschaffenburg Süd,49.968464,9.152586
375,Aschau(Chiemgau),47.779106,12.325564
376,Ascheberg(Holst),54.14846,10.339481
379,Ascheberg(Westf),51.78299,7.600749
380,Aschendorf,53.052177,7.337153
382,Aschersleben,51.757122,11.465689
387,Ashausen,53.368694,10.145564
389,Asperg,48.90736,9.147797
391,Asselheim,49.57622,8.161602
392,Assenheim(Oberhess),50.30494,8.812462
394,Assmannshausen,49.985325,7.867355
397,Attendorn,51.124645,7.908493
399,Attendorn-Hohen Hagen,51.090164,7.855281
400,Au(Sieg),50.773766,7.656537
407,Aue(Sachs),50.591682,12.698518
410,Aue(Sachs) Erzgebirgsstadion,50.596706,12.709055
411,Aue-Wingeshausen,51.051785,8.290085
412,Auehütte,50.719673,10.416666
413,Auerbach(V) ob Bf,50.519135,12.382054
414,Auerbach(V) unt Bf,50.511723,12.391421
415,Auerbach(Vogtl) Hp,50.506954,12.379204
416,"Auerbach(b Mosbach, Baden)",49.399563,9.223276
418,Auestadion  Ri. H.-Heine-Straße,51.298763,9.481215
419,Auestadion  Ri. Park Schönfeld,51.298763,9.481215
420,Aufhausen(Württ),48.85613,10.317193
421,Aufhausen(b Erding),48.274364,11.894375
422,"Augartenstraße, Karlsruhe",48.998466,8.403677
423,Auggen,47.789948,7.586788
425,Augsburg Haunstetterstraße,48.355286,10.900985
429,Augsburg Hbf,48.36544,10.88557
460,Augsburg Messe,48.338684,10.886086
462,Augsburg Morellstr.,48.355087,10.892948
464,Augsburg-Hochzoll,48.352978,10.943376
468,Augsburg-Oberhausen,48.38077,10.872533
476,"August-Bebel-Straße, Karlsruhe",49.023914,8.375667
478,Augustfehn,53.22089,7.759659
480,Aukrug,54.082397,9.78581
481,Aulendorf,47.953053,9.644046
486,Aumenau,50.40042,8.249249
488,Aumühle,53.529854,10.314672
491,Auringen-Medenbach,50.11361,8.332093
492,Auw an der Kyll,49.903595,6.614525
494,Außenried,49.015762,13.181763
495,Avignon TGV,43.921936,4.786044
496,Aying,47.96876,11.769578
499,Aßlar,50.588657,8.462756
501,Aßling(Oberbay),47.98949,11.993518
503,Baabe,54.362316,13.704806
504,Baalberge,51.763046,11.784682
506,Baar-Ebenhausen,48.67494,11.460092
508,Babenhausen Langstadt,49.922276,8.945733
509,Babenhausen(Hess),49.957962,8.957182
513,Babstadt,49.240196,9.060708
514,Babylon,49.398876,12.869049
515,Bacharach,50.056103,7.769523
517,Bachern,48.28016,11.378716
518,Bachfeld,50.405773,10.982451
519,Bachheim,47.862072,8.399399
520,Backnang,48.942677,9.425989
525,Bad Abbach,48.922733,11.994322
527,Bad Aibling,47.862026,12.004157
529,Bad Aibling Kurpark,47.857616,12.013823
530,Bad Arolsen,51.3816,8.997792
