stop_name,stop_id,stop_lat,stop_lon
Althegnenberg,6530,48.236374,11.063003
Altheim(Hess),11302,49.923332,8.890906
Altheim(Hess),7745,49.923332,8.890906
Althof,9119,54.090443,11.922341
Altingen(Württ),3467,48.561928,8.908852
Altmarkt/Regierungspräsidium  Ri. Am Stern,6372,51.31612,9.504504
Altmarkt/Regierungspräsidium  von Am Stern,8577,51.31612,9.504504
Altmittweida,370,50.968704,12.959645
Altmittweida,4818,50.968704,12.959645
Altmorschen,234,51.067276,9.610756
Altmorschen,6712,51.067276,9.610756
Altomünster,13428,48.38492,11.255133
Altomünster,2507,48.38492,11.255133
Altomünster,3445,48.38492,11.255133
Altranft,4692,52.763367,14.082107
Altshausen,5700,47.93071,9.551478
Altshausen,5879,47.93071,9.551478
Altstädten(Allgäu),11779,47.48855,10.280907
Altstädten(Allgäu),5259,47.48855,10.280907
Alttann,8146,47.841213,9.793037
Altötting,13791,48.22124,12.67479
Altötting,9667,48.22124,12.67479
Alveslohe,14093,53.791454,9.916375
Alzenau Burg,1463,50.08793,9.07434
Alzenau Nord,7470,50.089443,9.051385
Alzenau(Unterfr),1361,50.088715,9.065603
Alzey,11016,49.7502,8.109749
Alzey,3130,49.7502,8.109749
Alzey,7917,49.7502,8.109749
Alzey,8343,49.7502,8.109749
Alzey,9749,49.7502,8.109749
Alzey Süd,7097,49.738132,8.118732
Alzey West,10034,49.74098,8.107255
Am Stern  von Altmarkt,10461,51.318,9.500465
Am Stern  von Holländ. Platz,9024,51.318146,9.500323
Am Stern  von Königsplatz,14211,51.317947,9.500235
Am Stern  von Lutherplatz,11198,51.318073,9.500064
Am Weinberg  Ri. Heinrich-Heine-Straße,12901,51.30726,9.487671
Am Weinberg  Ri. Rathaus,9776,51.30726,9.487671
Amberg,53,49.447617,11.862902
Amberg,6989,49.447617,11.862902
Amberg,9259,49.447617,11.862902
Ammern,11410,51.233345,10.458086
Amorbach,5597,49.64561,9.223147
Amorbach,7527,49.64561,9.223147
Ampfing,1737,48.25395,12.410919
Ampfing,7624,48.25395,12.410919
Amriswil,1102,47.55057,9.301917
Amsdorf,14125,51.463562,11.71979
Amsdorf,8192,51.463562,11.71979
Amstetten(Württ),10775,48.578327,9.872965
Amstetten(Württ),3308,48.578327,9.872965
Amtshainersdorf,8886,50.966324,14.232364
Andernach,1910,50.434544,7.404839
Andernach,3108,50.434544,7.404839
Andernach,4646,50.434544,7.404839
Andernach,6572,50.434544,7.404839
Angermund,4699,51.33075,6.781857
Angermund,4918,51.33075,6.781857
Angermünde,1239,53.01522,13.996361
Angermünde,3572,53.01522,13.996361
Angermünde,5018,53.01522,13.996361
Angermünde,6356,53.01522,13.996361
Angermünde,7018,53.01522,13.996361
Angermünde,7655,53.01522,13.996361
Angern-Rogätz,1276,52.338463,11.759535
Angern-Rogätz,7594,52.338463,11.759535
Angersbach,10481,50.63077,9.44726
Angersdorf,10547,51.460407,11.903139
Angersdorf,5231,51.460407,11.903139
Anklam,12204,53.856102,13.701827
Anklam,7037,53.856102,13.701827
Anklam,7672,53.856102,13.701827
Annaberg-Buchholz Mitte,11798,50.56679,12.999078
Annaberg-Buchholz Süd,14044,50.555885,12.997404
Annaberg-Buchholz Süd,14210,50.555885,12.997404
Annaberg-Buchholz unterer Bf,6693,50.57861,12.998313
Annaberg-Buchholz unterer Bf,8352,50.57861,12.998313
Annaburg,3708,51.72868,13.032757
Annaburg,5645,51.72868,13.032757
Annweiler am Trifels,10469,49.205387,7.966149
Annweiler am Trifels,3446,49.205387,7.966149
Annweiler am Trifels,8420,49.205387,7.966149
Annweiler-Sarnstall,8672,49.208725,7.937192
Anrath,114,51.285538,6.45023
Anrath,13649,51.285538,6.45023
Ansbach,10210,49.29803,10.578239
Ansbach,11681,49.29803,10.578239
Ansbach,12825,49.29803,10.578239
Ansbach,13229,49.29803,10.578239
Ansbach,14153,49.29803,10.578239
Ansbach,280,49.29803,10.578239
Ansbach,5748,49.29803,10.578239
Ansbach,8514,49.29803,10.578239
Antoninov,454,50.771576,15.249396
Antonsthal,6988,50.49994,12.755245
Anwanden,13810,49.411694,10.930396
Anwanden,3863,49.411694,10.930396
Anzefahr,1993,50.84573,8.85959
Anzefahr,7517,50.84573,8.85959
Anzenkirchen,528,48.43474,13.021996
Apach(Moselle),13529,49.458786,6.371969
Apach(fr),1845,49.46902,6.369699
Apensen,1793,53.441666,9.612345
Apolda,1886,51.03094,11.526136
Apolda,7235,51.03094,11.526136
Apolda,7816,51.03094,11.526136
Appenweier,10208,48.541462,7.97319
Appenweier,10534,48.541462,7.97319
Appenweier,4239,48.541462,7.97319
Appenweier,8720,48.541462,7.97319
Arbon,263,47.51051,9.433224
Arbon Seemoosriet,5512,47.521343,9.424721
Ardey,14253,51.481163,7.727176
Arensdorf(Köthen),10888,51.70951,12.007416
Arensdorf(Köthen),3684,51.70951,12.007416
Arenshausen,14120,51.375053,9.968559
Arenshausen,8640,51.375053,9.968559
Arfurt(Lahn),11192,50.406403,8.211079
Arfurt(Lahn),7319,50.406403,8.211079
Armsheim,11585,49.808372,8.074113
Armsheim,2492,49.808372,8.074113
Armsheim,6910,49.808372,8.074113
Armsheim,9634,49.808372,8.074113
Arnbach,12713,48.34132,11.344044
Arnhem Centraal,11655,51.98478,5.901003
Arnhem Centraal,14157,51.98478,5.901003
Arnhem Centraal,14539,51.98478,5.901003
Arnhem Centraal,1716,51.98478,5.901003
Arnhem Centraal,19,51.98478,5.901003
Arnhem Centraal,1900,51.98478,5.901003
Arnhem Centraal,6353,51.98478,5.901003
Arnhem Centraal,8651,51.98478,5.901003
Arnsberg(Westf),10748,51.405663,8.067965
Arnsberg(Westf),4808,51.405663,8.067965
Arnschwang,160,49.27461,12.8116
Arnschwang,4923,49.27461,12.8116
Arnsdorf(Dresden),10966,51.092808,13.982212
Arnsdorf(Dresden),12807,51.092808,13.982212
Arnsdorf(Dresden),2663,51.092808,13.982212
Arnstadt Hbf,2061,50.841938,10.948262
Arnstadt Hbf,4661,50.841938,10.948262
Arnstadt Hbf,7403,50.841938,10.948262
Arnstadt Süd,3523,50.831085,10.954958
Arnstadt Süd,903,50.831085,10.954958
Arrach,4194,49.195366,13.002804
Arsbeck,11966,51.151978,6.207082
Artern,11721,51.36324,11.310757
Artern,2529,51.36324,11.310757
Artern,4672,51.36324,11.310757
Arzberg(Oberfr),12137,50.054634,12.197692
As(CZ),4066,50.209435,12.199936
Aschaffenburg Hbf,11879,49.980556,9.143697
Aschaffenburg Hbf,1309,49.980556,9.143697
Aschaffenburg Hbf,14449,49.980556,9.143697
Aschaffenburg Hbf,3930,49.980556,9.143697
Aschaffenburg Hbf,5481,49.980556,9.143697
Aschaffenburg Hbf,6244,49.980556,9.143697
Aschaffenburg Hbf,7076,49.980556,9.143697
Aschaffenburg Hbf,9506,49.980556,9.143697
Aschaffenburg Hochschule,6515,49.974445,9.160416
Aschaffenburg Süd,2916,49.968464,9.152586
Aschaffenburg Süd,4206,49.968464,9.152586
Aschau(Chiemgau),13330,47.779106,12.325564
Ascheberg(Holst),2510,54.14846,10.339481
Ascheberg(Holst),2666,54.14846,10.339481
Ascheberg(Westf),13089,51.78299,7.600749
Aschendorf,10909,53.052177,7.337153
Aschendorf,3396,53.052177,7.337153
Aschersleben,13131,51.757122,11.465689
Aschersleben,14926,51.757122,11.465689
Aschersleben,5812,51.757122,11.465689
Aschersleben,9265,51.757122,11.465689
Aschersleben,9357,51.757122,11.465689
Aschersleben,9730,51.757122,11.465689
Ashausen,12942,53.368694,10.145564
Ashausen,6497,53.368694,10.145564
Asperg,718,48.90736,9.147797
Asperg,8467,48.90736,9.147797
Asselheim,6796,49.57622,8.161602
Assenheim(Oberhess),5699,50.30494,8.812462
Assenheim(Oberhess),794,50.30494,8.812462
Assmannshausen,228,49.985325,7.867355
Assmannshausen,6604,49.985325,7.867355
Assmannshausen,9381,49.985325,7.867355
Attendorn,12182,51.124645,7.908493
Attendorn,968,51.124645,7.908493
Attendorn-Hohen Hagen,4368,51.090164,7.855281
Au(Sieg),10273,50.773766,7.656537
Au(Sieg),10894,50.773766,7.656537
Au(Sieg),13624,50.773766,7.656537
Au(Sieg),14625,50.773766,7.656537
Au(Sieg),1870,50.773766,7.656537
Au(Sieg),2377,50.773766,7.656537
Au(Sieg),2508,50.773766,7.656537
Aue(Sachs),14367,50.591682,12.698518
Aue(Sachs),17,50.591682,12.698518
Aue(Sachs),1818,50.591682,12.698518
Aue(Sachs),3819,50.591682,12.698518
Aue(Sachs) Erzgebirgsstadion,10726,50.596706,12.709055
Aue(Sachs) Erzgebirgsstadion,5115,50.596706,12.709055
Aue-Wingeshausen,10457,51.051785,8.290085
Auehütte,1875,50.719673,10.416666
Auerbach(V) ob Bf,10138,50.519135,12.382054
Auerbach(V) ob Bf,7087,50.519135,12.382054
Auerbach(V) unt Bf,5107,50.511723,12.391421
Auerbach(Vogtl) Hp,5951,50.506954,12.379204
Auerbach(Vogtl) Hp,6017,50.506954,12.379204
"Auerbach(b Mosbach, Baden)",12550,49.399563,9.223276
"Auerbach(b Mosbach, Baden)",3563,49.399563,9.223276
Auestadion  Ri. H.-Heine-Straße,1672,51.298763,9.481215
Auestadion  Ri. Park Schönfeld,5386,51.298763,9.481215
Aufhausen(Württ),9481,48.85613,10.317193
Aufhausen(b Erding),1072,48.274364,11.894375
"Augartenstraße, Karlsruhe",14805,48.998466,8.403677
Auggen,14701,47.789948,7.586788
Auggen,9753,47.789948,7.586788
Augsburg Haunstetterstraße,11455,48.355286,10.900985
Augsburg Haunstetterstraße,12618,48.355286,10.900985
Augsburg Haunstetterstraße,3687,48.355286,10.900985
Augsburg Haunstetterstraße,9577,48.355286,10.900985
Augsburg Hbf,1011,48.36544,10.88557
Augsburg Hbf,11109,48.36544,10.88557
Augsburg Hbf,1179,48.36544,10.88557
Augsburg Hbf,12055,48.36544,10.88557
Augsburg Hbf,1262,48.36544,10.88557
Augsburg Hbf,13217,48.36544,10.88557
Augsburg Hbf,13763,48.36544,10.88557
Augsburg Hbf,14348,48.36544,10.88557
Augsburg Hbf,1444,48.36544,10.88557
Augsburg Hbf,14447,48.36544,10.88557
Augsburg Hbf,14467,48.36544,10.88557
Augsburg Hbf,14651,48.36544,10.88557
Augsburg Hbf,14723,48.36544,10.88557
Augsburg Hbf,14894,48.36544,10.88557
Augsburg Hbf,2471,48.36544,10.88557
Augsburg Hbf,2677,48.36544,10.88557
Augsburg Hbf,3602,48.36544,10.88557
Augsburg Hbf,4287,48.36544,10.88557
Augsburg Hbf,4438,48.36544,10.88557
Augsburg Hbf,5123,48.36544,10.88557
Augsburg Hbf,5473,48.36544,10.88557
Augsburg Hbf,5535,48.36544,10.88557
Augsburg Hbf,5849,48.36544,10.88557
Augsburg Hbf,5950,48.36544,10.88557
Augsburg Hbf,6056,48.36544,10.88557
Augsburg Hbf,622,48.36544,10.88557
Augsburg Hbf,6650,48.36544,10.88557
Augsburg Hbf,7311,48.36544,10.88557
Augsburg Hbf,8520,48.36544,10.88557
Augsburg Hbf,8587,48.36544,10.88557
Augsburg Hbf,8960,48.36544,10.88557
Augsburg Messe,13227,48.338684,10.886086
Augsburg Messe,5229,48.338684,10.886086
Augsburg Morellstr.,2520,48.355087,10.892948
Augsburg Morellstr.,7622,48.355087,10.892948
Augsburg-Hochzoll,14007,48.352978,10.943376
Augsburg-Hochzoll,1824,48.352978,10.943376
Augsburg-Hochzoll,6363,48.352978,10.943376
Augsburg-Hochzoll,8316,48.352978,10.943376
Augsburg-Oberhausen,10313,48.38077,10.872533
Augsburg-Oberhausen,11883,48.38077,10.872533
Augsburg-Oberhausen,12150,48.38077,10.872533
Augsburg-Oberhausen,13793,48.38077,10.872533
Augsburg-Oberhausen,14149,48.38077,10.872533
Augsburg-Oberhausen,2350,48.38077,10.872533
Augsburg-Oberhausen,5924,48.38077,10.872533
"August-Bebel-Straße, Karlsruhe",1475,49.024162,8.375802
"August-Bebel-Straße, Karlsruhe",2629,49.023914,8.375667
Augustfehn,5430,53.22089,7.759659
Augustfehn,9361,53.22089,7.759659
Aukrug,6126,54.082397,9.78581
Aulendorf,10301,47.953053,9.644046
Aulendorf,1457,47.953053,9.644046
Aulendorf,3906,47.953053,9.644046
Aulendorf,7690,47.953053,9.644046
Aulendorf,9280,47.953053,9.644046
Aumenau,10254,50.40042,8.249249
Aumenau,14035,50.40042,8.249249
Aumühle,5459,53.529854,10.314672
Aumühle,7570,53.529854,10.314672
Aumühle,980,53.529854,10.314672
Auringen-Medenbach,2612,50.11361,8.332093
Auw an der Kyll,10065,49.903595,6.614525
Auw an der Kyll,6194,49.903595,6.614525
Außenried,7728,49.015762,13.181763
Avignon TGV,6043,43.921936,4.786044
Aying,12148,47.96876,11.769578
Aying,3601,47.96876,11.769578
