stop_name,stop_id,stop_lat,stop_lon
Coburg,1171,50.262928,10.957328
Coburg,622,50.262928,10.957328
Como S. Giovanni,511,45.80897,9.072714
Cottbus Hbf,380,51.750957,14.324162
Cottbus Hbf,738,51.750957,14.324162
Crailsheim,413,49.13787,10.064326
Crailsheim,88,49.13787,10.064326
Darmstadt Hbf,1187,49.8725,8.629636
Darmstadt Hbf,1262,49.8725,8.629636
Darmstadt Hbf,635,49.8725,8.629636
Darmstadt Hbf,976,49.8725,8.629636
Debica,179,50.054417,21.405565
Decin hl.n.,282,50.773415,14.201247
Delmenhorst,1250,53.05279,8.629758
Delmenhorst,69,53.05279,8.629758
Dessau Hbf,108,51.839867,12.234945
Dessau Hbf,1330,51.839867,12.234945
Deventer,1168,52.257435,6.160506
Deventer,1384,52.257435,6.160506
Deventer,679,52.257435,6.160506
Diepholz,1400,52.60477,8.380334
Dillenburg,381,50.734882,8.294088
Dillenburg,853,50.734882,8.294088
Doberlug-Kirchhain,382,51.620575,13.564241
Doberlug-Kirchhain,447,51.620575,13.564241
Dobova,358,45.89839,15.655178
Dobova(Gr),1239,45.890633,15.680238
Domazlice,644,49.434692,12.944582
Domodossola,392,46.11529,8.296239
Donaueschingen,1309,47.947784,8.498919
Donauwörth,163,48.714027,10.771443
Dorfgastein,1329,47.23867,13.103062
Dorfgastein,299,47.23867,13.103062
Dornbirn,346,47.41769,9.738808
Dornbirn,797,47.41769,9.738808
Dortmund Hbf,1011,51.517895,7.45929
Dortmund Hbf,1038,51.517895,7.45929
Dortmund Hbf,1383,51.517895,7.45929
Dortmund Hbf,240,51.517895,7.45929
Dortmund Hbf,34,51.517895,7.45929
Dortmund Hbf,894,51.517895,7.45929
Dortmund Hbf,963,51.517895,7.45929
Dresden Hbf,166,51.04056,13.732035
Dresden Hbf,646,51.04056,13.732035
Dresden Hbf,707,51.04056,13.732035
Dresden-Neustadt,1420,51.0659,13.740701
Dresden-Neustadt,464,51.0659,13.740701
Dresden-Neustadt,682,51.0659,13.740701
Dresden-Neustadt,982,51.0659,13.740701
Duisburg Hbf,1049,51.429787,6.775903
Duisburg Hbf,1071,51.429787,6.775903
Duisburg Hbf,1212,51.429787,6.775903
Duisburg Hbf,214,51.429787,6.775903
Duisburg Hbf,232,51.429787,6.775903
Duisburg Hbf,490,51.429787,6.775903
Duisburg Hbf,578,51.429787,6.775903
Duisburg Hbf,911,51.429787,6.775903
Duisburg Hbf,930,51.429787,6.775903
Düren,1016,50.809517,6.482451
Düren,616,50.809517,6.482451
Düsseldorf Flughafen,1209,51.292007,6.786836
Düsseldorf Flughafen,587,51.292007,6.786836
Düsseldorf Hbf,1149,51.219963,6.794319
Düsseldorf Hbf,1231,51.219963,6.794319
Düsseldorf Hbf,134,51.219963,6.794319
Düsseldorf Hbf,247,51.219963,6.794319
Düsseldorf Hbf,580,51.219963,6.794319
Düsseldorf Hbf,640,51.219963,6.794319
Düsseldorf Hbf,741,51.219963,6.794319
Düsseldorf Hbf,815,51.219963,6.794319
Eberswalde Hbf,1249,52.834023,13.797062
Eberswalde Hbf,329,52.834023,13.797062
Eisenach,1151,50.97692,10.331986
Eisenach,1274,50.97692,10.331986
Eisenach,1405,50.97692,10.331986
Ellwangen,1411,48.964123,10.129681
Elsterwerda,1293,51.45968,13.516428
Elsterwerda,255,51.45968,13.516428
Elsterwerda,504,51.45968,13.516428
Elze(Han),1132,52.120148,9.746894
Elze(Han),780,52.120148,9.746894
Emden Außenhafen,262,53.344467,7.186179
Emden Hbf,1,53.369038,7.195176
Emden Hbf,1252,53.369038,7.195176
Emden Hbf,1308,53.369038,7.195176
Emden Hbf,91,53.369038,7.195176
Emmerich(Gr),201,51.901196,6.137652
Engen,418,47.856346,8.772786
Engen,521,47.856346,8.772786
Erfurt Hbf,1347,50.97255,11.038499
Erfurt Hbf,176,50.97255,11.038499
Erfurt Hbf,325,50.97255,11.038499
Erfurt Hbf,857,50.97255,11.038499
Erfurt Hbf,956,50.97255,11.038499
Ergenzingen,1285,48.489532,8.809857
Ergenzingen,919,48.489532,8.809857
Erkelenz,390,51.076565,6.32172
Erkelenz,478,51.076565,6.32172
Erlangen,1032,49.59583,11.001638
Erlangen,546,49.59583,11.001638
Essen Hbf,171,51.451355,7.014793
Essen Hbf,175,51.451355,7.014793
Essen Hbf,339,51.451355,7.014793
Essen Hbf,89,51.451355,7.014793
Essen Hbf,924,51.451355,7.014793
Eutingen im Gäu,583,48.479954,8.782236
Eutingen im Gäu,621,48.479954,8.782236
Faak am See,113,46.56437,13.913006
Fehmarn-Burg,552,54.443592,11.18898
Feldkirch,687,47.24098,9.604102
Feldkirch,709,47.24098,9.604102
Finnentrop,25,51.173046,7.964563
Finnentrop,611,51.173046,7.964563
Fischen,424,47.456593,10.271717
Flensburg,962,54.77404,9.436526
Flensburg(Gr),754,54.814842,9.36324
Flughafen BER - Terminal 1-2,574,52.364803,13.51195
Flughafen BER - Terminal 1-2,884,52.364803,13.51195
Forbach(F),1205,49.189217,6.900258
Forbach(fr),251,49.21409,6.944314
Fortezza/Franzensfeste,770,46.78872,11.610083
Frankfurt(M) Flughafen Fernbf,439,50.053165,8.570185
Frankfurt(M) Flughafen Fernbf,533,50.053165,8.570185
Frankfurt(M) Flughafen Fernbf,703,50.053165,8.570185
Frankfurt(M) Flughafen Fernbf,718,50.053165,8.570185
Frankfurt(M) Flughafen Fernbf,719,50.053165,8.570185
Frankfurt(M) Flughafen Regionalbf,775,50.05122,8.571251
Frankfurt(Main)Hbf,1012,50.107143,8.663789
Frankfurt(Main)Hbf,1022,50.107143,8.663789
Frankfurt(Main)Hbf,1030,50.107143,8.663789
Frankfurt(Main)Hbf,1070,50.107143,8.663789
Frankfurt(Main)Hbf,1073,50.107143,8.663789
Frankfurt(Main)Hbf,1120,50.107143,8.663789
Frankfurt(Main)Hbf,1144,50.107143,8.663789
Frankfurt(Main)Hbf,1177,50.107143,8.663789
Frankfurt(Main)Hbf,1251,50.107143,8.663789
Frankfurt(Main)Hbf,1268,50.107143,8.663789
Frankfurt(Main)Hbf,1344,50.107143,8.663789
Frankfurt(Main)Hbf,1345,50.107143,8.663789
Frankfurt(Main)Hbf,1424,50.107143,8.663789
Frankfurt(Main)Hbf,162,50.107143,8.663789
Frankfurt(Main)Hbf,3,50.107143,8.663789
Frankfurt(Main)Hbf,300,50.107143,8.663789
Frankfurt(Main)Hbf,452,50.107143,8.663789
Frankfurt(Main)Hbf,456,50.107143,8.663789
Frankfurt(Main)Hbf,558,50.107143,8.663789
Frankfurt(Main)Hbf,710,50.107143,8.663789
Frankfurt(Main)Hbf,735,50.107143,8.663789
Frankfurt(Main)Hbf,737,50.107143,8.663789
Frankfurt(Main)Hbf,750,50.107143,8.663789
Frankfurt(Main)Hbf,892,50.107143,8.663789
Frankfurt(Main)Süd,118,50.099365,8.686457
Frankfurt(Main)Süd,1278,50.099365,8.686457
Frankfurt(Main)Süd,372,50.099365,8.686457
Frankfurt(Main)Süd,764,50.099365,8.686457
Frankfurt(Main)West,169,50.118862,8.639335
Frankfurt(Main)West,705,50.118862,8.639335
