stop_name,stop_id,stop_lat,stop_lon
Althof,15052,54.090443,11.922341
Althof,1526,54.090443,11.922341
Altmarkt/Regierungspräsidium  Ri. Am Stern,6003,51.31612,9.504504
Altmarkt/Regierungspräsidium  von Am Stern,8566,51.31612,9.504504
Altmittweida,10112,50.968704,12.959645
Altmittweida,8649,50.968704,12.959645
Altmorschen,14889,51.067276,9.610756
Altmorschen,5135,51.067276,9.610756
Altomünster,10467,48.38492,11.255133
Altomünster,9601,48.38492,11.255133
Altranft,6751,52.763367,14.082107
Altshausen,11749,47.93071,9.551478
Altshausen,3562,47.93071,9.551478
Altshausen,7958,47.93071,9.551478
Altstädten(Allgäu),14655,47.48855,10.280907
Altstädten(Allgäu),4315,47.48855,10.280907
Altstädten(Allgäu),790,47.48855,10.280907
Alttann,4063,47.841213,9.793037
Altötting,1623,48.22124,12.67479
Altötting,3042,48.22124,12.67479
Alveslohe,13949,53.791454,9.916375
Alzenau Burg,14172,50.08793,9.07434
Alzenau Nord,13925,50.089443,9.051385
Alzenau(Unterfr),9450,50.088715,9.065603
Alzey,10565,49.7502,8.109749
Alzey,14677,49.7502,8.109749
Alzey,9016,49.7502,8.109749
Alzey,9608,49.7502,8.109749
Alzey Süd,7678,49.738132,8.118732
Alzey West,5166,49.74098,8.107255
Am Stern  von Altmarkt,580,51.318,9.500465
Am Stern  von Holländ. Platz,11807,51.318146,9.500323
Am Stern  von Königsplatz,9948,51.317947,9.500235
Am Stern  von Lutherplatz,7954,51.318073,9.500064
Am Weinberg  Ri. Heinrich-Heine-Straße,7969,51.30726,9.487671
Am Weinberg  Ri. Rathaus,1188,51.30726,9.487671
Amberg,10048,49.447617,11.862902
Amberg,10324,49.447617,11.862902
Amberg,8860,49.447617,11.862902
Amerang,14035,47.985836,12.306297
Ammern,7475,51.233345,10.458086
Amorbach,6393,49.64561,9.223147
Amorbach,7596,49.64561,9.223147
Ampfing,3928,48.25395,12.410919
Ampfing,6916,48.25395,12.410919
Amriswil,4974,47.55057,9.301917
Amsdorf,1947,51.463562,11.71979
Amsdorf,7994,51.463562,11.71979
Amstetten(W) Lokalbahn,8904,48.57785,9.873959
Amstetten(Württ),5488,48.578327,9.872965
Amstetten(Württ),8350,48.578327,9.872965
Amtshainersdorf,10250,50.966324,14.232364
Andernach,10095,50.434544,7.404839
Andernach,3878,50.434544,7.404839
Andernach,6,50.434544,7.404839
Andernach,8450,50.434544,7.404839
Andisleben,15094,51.0827,10.926207
Andisleben,2139,51.082645,10.926137
"Andisleben, Vor dem See",3407,51.0782,10.927638
"Andisleben, Vor dem See",6186,51.078915,10.927194
Angermund,2932,51.33075,6.781857
Angermund,3769,51.33075,6.781857
Angermünde,13098,53.01522,13.996361
Angermünde,2544,53.01522,13.996361
Angermünde,3863,53.01522,13.996361
Angermünde,4490,53.01522,13.996361
Angermünde,6242,53.01522,13.996361
Angermünde,9988,53.01522,13.996361
"Angermünde, Bahnhof",10817,53.015823,13.995871
"Angermünde, Bahnhof",11804,53.015823,13.995871
